app_id,app_name,category_names,app_status,n_stores,store_status
6824,MailChimp,"Email marketing, Marketing",approved,2532,Active (Subscriber)
70,Justuno,"Email marketing, Social media",approved,2348,Active (Subscriber)
23,Yotpo Reviews,"Marketing, Product reviews",approved,2247,Active (Subscriber)
58,AfterShip,"Shipping, Marketing",approved,1443,Active (Subscriber)
109,QuickBooks Online,Accounting,approved,2870,Active (Subscriber)
4869,ShipperHQ,"Shipping, Drop shipping",approved,1265,Active (Subscriber)
2369,Loyalty Reward Points by Sweet Tooth,"Marketing, Advertising",approved,1239,Active (Subscriber)
96,ShipStation,Shipping,approved,2398,Active (Subscriber)
2060,inkFrog Open,"Multichannel listing, Marketing",approved,1143,Active (Subscriber)
1748,SEO Doctor,"Marketing, Analytics",approved,1085,Active (Subscriber)
1289,ShippingEasy,"Shipping, Order fulfillment",approved,1074,Active (Subscriber)
6834,Google Shopping,Advertising,approved,2120,Active (Subscriber)
4267,Stamps.com,"Order management, Shipping",approved,859,Active (Subscriber)
380,Signifyd,"Order fulfillment, Order management",approved,740,Active (Subscriber)
26,S Loyalty - Loyalty Program Designed for Bigcommerce,"Social media, Marketing",approved,714,Active (Subscriber)
172,RetentionGrid,"Email marketing, Analytics",approved,703,Active (Subscriber)
5073,McAfee SECURE,"Marketing, Customer feedback",approved,673,Active (Subscriber)
553,eCommerce email marketing by Soundest,"Marketing, Email marketing",approved,624,Active (Subscriber)
4087,Forms,"Marketing, Customer feedback",approved,602,Active (Subscriber)
82,Sellbrite,"Multichannel listing, Order management",approved,573,Active (Subscriber)
7450,Facebook Ads Extension,"Social media, Marketing",approved,544,Active (Subscriber)
5201,Sift Science Fraud Prevention,"Order fulfillment, Order management",approved,518,Active (Subscriber)
2927,Ordoro,"Order management, Shipping",approved,515,Active (Subscriber)
182,InStockNotify,"Marketing, Email marketing",approved,501,Active (Subscriber)
2166,eBay LINK,"Marketing, Multichannel listing",approved,495,Active (Subscriber)
369,Unlimited Upsell - Buy X Get Y,"Marketing, Advertising",approved,470,Active (Subscriber)
345,Shippo,"Drop shipping, Shipping",approved,462,Active (Subscriber)
622,Coupon Pop,"Social media, Marketing",approved,412,Active (Subscriber)
1682,Tidio Chat,"Analytics, Live chat",approved,398,Active (Subscriber)
947,Inventory Source,"Multichannel listing, Drop shipping",approved,398,Active (Subscriber)
1104,OneSaas - Automate Your Business,"Accounting, Cloud integration",approved,396,Active (Subscriber)
1261,"Printful - Dropship T-Shirts, Posters, Leggings, and More Print Products","Drop shipping, Order fulfillment",approved,395,Active (Subscriber)
5357,Xero,Accounting,approved,768,Active (Subscriber)
3217,Conversio,"Email marketing, Product reviews",approved,355,Active (Subscriber)
1419,LeadDyno: Easy Affiliate Marketing,"Marketing, Advertising",approved,350,Active (Subscriber)
4332,Galleries,"Marketing, Merchandising",approved,313,Active (Subscriber)
